minsan,prodotto,n_tenant,n_click,costo_click,vendite_rete_90gg
990559775,VITABENIMMUNO BABY GOCCE 12ML,3,3,0.99,0
988665648,TENA BED PLUS WINGS TRAV80X180,3,3,0.99,0
951058573,BATTINORM 30STICK,3,3,0.99,0
902632417,CERUMINA SILICON 6PZ,3,3,0.99,0
976403877,PISOLINO TRIPTO 50ML,3,3,0.99,0
943285609,RIBES PET SOLLIEVO 30PRL,3,3,0.99,0
801210954,DRE 5 50ML GTT,3,3,0.99,0
971325271,PEDIAKD PLUS 5ML,3,3,0.99,0
940085970,LONGLIFE L-GLYCINE500MG 100CPS,3,3,0.99,0
925491678,HYDRA PERFECT LATTE CORPO400ML,3,3,0.99,0
908195249,BIOLASTIC CREMA ELASTICIZZANTE,3,3,0.99,0
981929211,PERISTEEN PLUS REG CATET RE10P,3,3,0.99,0
982599250,LAXALOE PROTECT 60CPS VEGETALI,3,3,0.99,0
938251129,FITOCAT 3 50ML GOCCE,3,3,0.99,0
983389521,DIVIAL X GOCCE OCULARI 30F,3,3,0.99,0
977347412,MOPEDIA RIALZO WC 10CM C/FERMI,3,3,0.99,0
976863946,CURADOL CEROTTO 5PZ,3,3,0.99,0
986904516,GIBAUD FASCIA POSTOP CLA H30 3,3,3,0.99,0
951863024,HORMONIZE 60CPS,3,3,0.99,0
981644697,REUMABEST 30CPR,3,3,0.99,0
970176513,BIATAIN SIL LITE ADES 5X5CM,3,3,0.99,0
974373476,ASABIONIC DET DEPURATIVO 125ML,3,3,0.99,0
904665534,DER-MYC MOUSSE IDR CUTE MUCOSE,3,3,0.99,0
980774412,UNICO OLIO SECCO SPRAY 100ML,3,3,0.99,0
923006670,NEOCATE SPOON 400G,3,3,0.99,0
923509614,CARIEX SPRAY DENTALE 50ML,3,3,0.99,0
978306393,PODALUX SCARPA POSTOP II L,3,3,0.99,0
952070720,GYNEDRAL OVULI VAGINALI 10OV,3,3,0.99,0
912051657,RAPUNZEL BRODO VEG POLV 500G,3,3,0.99,0
973648886,LENET MICO 400ML,3,3,0.99,0
973622703,VIDLIFE 30CPR,3,3,0.99,0
906985282,CALCIO AD3 PLUS 40CPR APPETIB,3,3,0.99,0
924546221,CARPINO BI 500ML ANALCO GEM10+,3,3,0.99,0
951990009,MANUGIB 3D TUTORE POLS DX TG02,3,3,0.99,0
930924915,MIRTY 180 20BUST,3,3,0.99,0
934638127,ALKAGIN DET INT LEN ALC 250ML,3,3,0.99,0
951171343,LONGLIFE ASHWAGANDHA BIO 5%,3,3,0.99,0
974036675,MIODOL 20CPR BLISTER 10G,3,3,0.99,0
984502993,VENADREM 30CPR,3,3,0.99,0
973655424,TRIBULUS ESTRATTO TIT 80PAST,3,3,0.99,0
940742911,DERMOVITAMINA RAGADI NA/LA VAS,3,3,0.99,0
987249950,BENDIAR PASTA 30G,3,3,0.99,0
976404778,TIAN ZHI CEROTTO 4PZ,3,3,0.99,0
925943565,VIRAFER NEO 200ML,3,3,0.99,0
941435962,SEPARATORE DOPPIO ANELLO 3/4/5,3,3,0.99,0
923055800,NEBUVIS REIDRATANTE OCCHI 10ML,3,3,0.99,0
977701034,AESCULUS HIPP BOIRON MG 60ML,3,3,0.99,0
941113300,VENAPLUS 30CPR,3,3,0.99,0
908169333,ELEUTEROCOCCO 20STICK 10ML,3,3,0.99,0
924601646,DERMOXEN DET INTIMO DIABETICI,3,3,0.99,0
922316740,TEGADERM ROLL CM10X2M 1PZ,3,3,0.99,0
986478713,DIGEST EV ENZYME 30CPR,3,3,0.99,0
981470127,AMICOBOR SOL ALCOLICA 100ML,3,3,0.99,0
951216252,CUTIMED SORBACT CONT 4X6CM 5PZ,3,3,0.99,0
908220243,GIBAUD CINT NORM 32CM K,3,3,0.99,0
924931797,SENSURA MIO430 CLK CL MX 40MM,3,3,0.99,0
972515314,PROBIOTIC P-450 12STICK MONOD,3,3,0.99,0
987669734,GIBAUD ORTHO WALKER BASSO TIB3,3,3,0.99,0
983674209,CH GIOCO MSDD CHAMELEON DO PL,3,3,0.99,0
009115039,FITOSTIMOLINE*10GARZE 15%,3,3,0.99,6
926255023,BB NAIL BASE PER UNGHIE 10ML,3,3,0.99,0
018610067,CARNITENE*10CPR MAST 1G,3,3,0.99,2
020942025,"TROFODERMIN*CR DERM30G 0,5+0,5",3,3,0.99,5
027077027,NTR*SPRAY NASALE 15ML,3,3,0.99,1
027456033,CLAREMA*CREMA 30G 1%,3,3,0.99,3
032182077,"SODIO CLORURO EUROS*0,9%1000ML",3,3,0.99,2
034447045,"CELLUVISC*COLL 30F 0,4ML5MG/ML",3,3,0.99,3
035953025,"LAXIPEG*OS POLV 20BUST 9,7G",3,3,0.99,2
037899010,"FROBEN RAFFREDDORE*15ML 0,05%",3,3,0.99,9
046080026,ENTEROGERMINA*OS 10FL 2MLD/5ML,3,3,0.99,9
047812045,DAFLON*30CPR RIV 500MG,3,3,0.99,9
048922013,ZEFLAVON*30CPR RIV 500MG,3,3,0.99,3
049822012,OLONET*COLLIRIO 1FL 5ML 1MG/ML,3,3,0.99,1
051378014,MUSCORIL DOLORE*GEL 60G 20MG/G,3,3,0.99,1
104918026,AMFLEE COMBO*3PIP GATTI/FURETT,3,3,0.99,6
900176227,LONGLIFE AMINO COMPLEX 60TAV,3,3,0.99,1
900697970,GARZA 12/8 IDROF 10X10CM 1KG,3,3,0.99,2
900761711,REV KERATIN SHAMPOO 250ML,3,3,0.99,1
900794165,PRUREX EMULSIONE P SENS 75ML,3,3,0.99,1
900851294,DITRAPSOR SHAMPOO 100ML,3,3,0.99,1
900958695,BENUSCLER CR 100ML,3,3,0.99,1
901298341,KERAMINE H A/CAD 12F 6ML,3,3,0.99,1
901347613,MYCOGEL GEL DETERGENTE 150ML,3,3,0.99,1
901430672,MAN SUPPORT 15COT GAMB 15 NE 5,3,3,0.99,2
902183072,VEA MARSIGLIA SAP NAT 100G,3,3,0.99,1
902202148,XEROTIN 100ML,3,3,0.99,1
902340177,DICODRAL 60 12BUST,3,3,0.99,3
902445651,HOLLI ADATTATORE SAC URO 10PZ,3,3,0.99,1
902684315,PERSPIREX FOOT LOT ANTITR PIED,3,3,0.99,2
903069514,LONGLIFE KELP ALGA BRUNA180CPR,3,3,0.99,5
903701769,DERMABLEND FLUIDO 45 30ML,3,3,0.99,1
903704221,FARMACTIVE ALGINATO 10X10CM 10,3,3,0.99,1
904045820,TROFOVIT 14FL 10ML,3,3,0.99,5
904421474,IPSO PLUS CREMA TUBO 250ML,3,3,0.99,2
905066825,MYDET DOCCIASCHIUMA 200ML,3,3,0.99,1
905163679,OZIDERM POLVERE 75G,3,3,0.99,3
905169722,ULTRA TAN 30CPS,3,3,0.99,2
905897652,MEDILEN IPER CREMA 50ML,3,3,0.99,2
905987614,FITOESTRIL 30CPR,3,3,0.99,2
906154810,EUPHIDRA AMIDO HOFMANN 300G,3,3,0.99,10
906482753,GYNECOLASE DET INT 500ML,3,3,0.99,1
906953575,GEHWOL BALS PIEDI P/SEC 75ML,3,3,0.99,1
907280352,ALLEVYN NON ADHESIVE 10X10CM 3,3,3,0.99,1
908044112,ANFO 3 200ML,3,3,0.99,1
908486158,GL1 M&D SALBE CREMA 500ML,3,3,0.99,3
908726843,NEO MOM POLVERE 20G,3,3,0.99,4
908858234,PONTEFIX SET FISSAGGIO PONTI,3,3,0.99,1
908919222,LONGLIFE INOSITOL 100CPR,3,3,0.99,1
909164461,SCHOLL CER CALLIF CALLI DU 8PZ,3,3,0.99,1
909468237,CHELIDONIUM HOMAC 30ML GTTHEEL,3,3,0.99,1
