"minsan";"name";"keyword";"description"
"049221017";"SENECTUS F*OS GTT 30ML";"Senectus";"SENECTUS F*OS GTT 30ML"
"049551017";"ARNICA HEEL COMPLEX INIETT 10F";"Arnica heel fiale";"ARNICA HEEL COMPLEX INIETT 10F"
"050375169";"ACONITUM NAPELLUS DYN*9CH GR";"Aconitum napellus 9ch";"ACONITUM NAPELLUS DYN*9CH GR"
"050375599";"ACONITUM NAPELLUS DYN*9CH GL";"Aconitum napellus 9ch";"ACONITUM NAPELLUS DYN*9CH GL"
"050376336";"ACONITUM NAPELLUS DYN*9CH 10ML";"Aconitum napellus 9ch";"ACONITUM NAPELLUS DYN*9CH 10ML"
"103746020";"RINGER LATTATO SALF*FL 500ML";"Ringer lattato";
"800020481";"ACONITUM NAP 9CH GR 4G";"Aconitum napellus 9ch";"ACONITUM NAP 9CH GR 4G"
"800106597";"SANKOMBI D5 10ML  Gocce SANUM";"Sankombi d5";"SANKOMBI D5 10ML GTT SANUM"
"800160323";"OVARINUM 5CH GR 4G";"Ovarinum 5ch";"OVARINUM 5CH GR 4G"
"800164461";"SOLIDAGO COMP 10F 2,2ML HEEL";"Solidago compositum heel";"SOLIDAGO COMP 10F 2,2ML HEEL"
"800170514";"ZEEL T 10F 2,2ML HEEL";"Zeel t fiale heel";"ZEEL T 10F 2,2ML HEEL"
"800174928";"NGF 5CH 30 Capsule IMMUNOVANDA";"Vanda ngf 5ch 30 capsule immunovanda";"NGF 5CH 30CPS IMMUNOVANDA"
"800249462";"LUESINUM MK GL";"Luesinum mk cemon";"LUESINUM MK GL"
"800380089";"TILIA TOMENTOSA 5CH GR 4G";"Tilia tomentosa 1000ml";"TILIA TOMENTOSA 5CH GR 4G"
"800380115";"TILIA TOMENTOSA 30CH GR 4G";"Tilia tomentosa 1000ml";"TILIA TOMENTOSA 30CH GR 4G"
"800484343";"K2 M DIA 30ML  Gocce";"K2 m guna";"K2 M DIA 30ML GTT"
"800484368";"K2 M 30ML  Gocce";"K2 m guna";"K2 M 30ML GTT"
"800484370";"SENECTUS F 30ML GTT";"Senectus";"SENECTUS F 30ML GTT"
"800484382";"SENECTUS M GOCCE 30ML";"Senectus";"SENECTUS M GOCCE 30ML"
"800623264";"PROPOLIS TINTURA MADRE 30ML";"Tintura madre propoli";"PROPOLIS TINTURA MADRE 30ML"
"800646251";"LUESINUM MK 10ML GTT";"Luesinum mk cemon";"LUESINUM MK 10ML GTT"
"800653331";"AESCULUS HIPPOCAST 9CH GR";"Aesculus hippocastanum 9ch";"AESCULUS HIPPOCAST 9CH GR"
"800660829";"TILIA TOM GEMME 60ML MG";"Tilia tomentosa 1000ml";"<h2>MACERATO GLICERICO</h2> <h1>Tilia Tomentosa<br> GOCCE</h1> <div align=""justify""> <b>Descrizione</b><br> Macerato glicerico (gemmoderivato) di Tilia tomentosa gemme.<br> Alcool vol. 30%.<br> <br> <b>Modalit&agrave; d'uso</b><br> Si consiglia di assumere una volta al giorno 25-30 gocce in mezzo bicchiere d'acqua.<br> <br> <b>Formato</b><br> Flacone da 60 ml</div>"
"800661581";"ANANASSA SAT 60ML TM";"Tintura madre propoli";"ANANASSA SAT 60 ML TINTURA MADRE"
"800662037";"ARNICA MONTANA 30ML TM";"Tintura madre propoli";"ARNICA MONTANA TINTURA MADRE 30 ML"
"800662672";"CHAMOMILLA V 30ML TM";"Tintura madre propoli";"CHAMOMILLA V 30 ML TINTURA MADRE"
"800663282";"ESCHOLTZIA CALIFORN TM 30ML";"Tintura madre propoli";"ESCHOLTZIA CALIFORN TINTURA MADRE 30 ML"
"800663700";"GINSENG 30ML TM";"Tintura madre propoli";"GINSENG 30 ML TINTURA MADRE"
"800663914";"HIERACIUM PILOSELLA 30ML TM";"Tintura madre propoli";"HIERACIUM PILOSELLA 30 ML TINTURA MADRE"
"800664005";"HYPERICUM PERFOR 30ML TM";"Tintura madre propoli";"HYPERICUM PERFOR 30 ML TINTURA MADRE"
"800664068";"JUGLANS REGIA TM 30ML";"Tintura madre propoli";"JUGLANS REGIA TINTURA MADRE 30 ML"
"800665174";"PLANTAGO MAJOR 30ML TM";"Tintura madre propoli";"PLANTAGO MAJOR 30 ML TINTURA MADRE"
"800665198";"PROPOLIS 30ML TM";"Tintura madre propoli";"PROPOLIS TINTURA MADRE 30 ML"
"800665921";"TARAXACUM DENS LEONIS TM 30ML";"Tintura madre propoli";"TARAXACUM DENS LEONIS TINTURA MADRE 30 ML"
"800666048";"TILIA TOMENTOSA 30ML TM";"Tilia tomentosa 1000ml";"TILIA TOMENTOSA 30ML TM"
"800666051";"TILIA TOMENTOSA 60ML TM";"Tilia tomentosa 1000ml";"TILIA TOMENTOSA 60ML TM"
"800666063";"TILIA TOMENTOSA 125ML TM";"Tilia tomentosa 1000ml";"TILIA TOMENTOSA 125ML TM"
"800667141";"CHININUM SULFUR 9CH GR";"Sulfur 9ch";"CHININUM SULFUR 9CH GR"
"800698589";"LUESINUM MK GR";"Luesinum mk cemon";"LUESINUM MK GR"
"800729358";"NATRIUM SULFUR 9CH GL";"Sulfur 9ch";"NATRIUM SULFUR 9CH GL"
"800886881";"ACONITUM NAPEL 9CH 10ML GTT";"Aconitum napellus 9ch";"ACONITUM NAPEL 9CH 10ML GTT"
"801187218";"PORIX FORTE COMPOSTO 60CPS";"Porix forte capsule";"PORIX FORTE COMPOSTO 60CPS"
"801187220";"PORIX FORTE COMPOSTO GTT 50ML";"Porix forte capsule";"PORIX FORTE COMPOSTO GTT 50ML"
"801210598";"SIN 30 50ML  Gocce";"Sin 24 gocce";"SIN 30 50ML GTT"
"801210826";"SIN 53 GOCCE 50ML";"Sin 24 gocce";"SIN 53 GOCCE 50ML"
"801846080";"GUNA INTERLEUKIN 10 4CH GTT 30";"Interleukin 10";"GUNA INTERLEUKIN 10 4CH GTT 30"
"802519266";"STODAL SCIROPPO 200ML";"Boiron stodal sciroppo";"STODAL SCIROPPO 200ML"
"880754344";"FORMULA T3 06LM GOCCE 50ML";"Formula t3 oti gocce";"FORMULA T3 06LM GOCCE 50ML"
"881029209";"LUESINUM MK GTT 20M 18%";"Luesinum mk cemon";"LUESINUM MK GTT 20M 18%"
"881073821";"FEE ONTANO NERO 15ML";"Ontano nero extragem";"<h2> Fito Embrio Estratti </h2> <h1> ONTANO NERO fee <br> Integratore alimentare <br> 15  ml </h1>"
"881156653";"AESCULUS HIPPOCAST 9CH GL";"Aesculus hippocastanum 9ch";"AESCULUS HIPPOCAST 9CH GL"
"900074562";"ARTHROCARIL FORTE CREMA GEL";"Glucosamina joint flex gel forte";"<h1>Arthrocaril</h1> <b>FORTE CREMA/GEL</b><br> <br> Composizione a base di principi  naturali sinergici, come la glucosamina, il condroitinsolfato e l&rsquo; MSM , tutte  sostanze presenti in natura, associate a piante note nella tradizione popolare come  l&rsquo; artiglio del diavolo, il frassino e l&rsquo; uncaria.<br> <br>  <b>Caratteristiche</b><br> Utile per assicurare un rapido e duraturo senso di sollievo  all'aparato locomotore, i reumatismi, causati dall'invecchiamento, dall'usura del  tessuto osseo, dalle condizioni climatiche e ambientali, dalla dieta seguita o da forme  allergiche.<br> <br> <b>Componenti</b><br> Glucosamina; condroitinsolfato; msm  (metilsulfonilmetano); uncaria; artiglio del diavolo; frassino.<br> <br>  <b>Formato</b><br> 100 ml.<br> <br> <b>Cod.</b> 180027"
"900095807";"ELMEX DENTIF S/MENTOLO 75ML";"Dentifricio senza menta e mentolo e piperita";"<h1>Elmex Dentifricio</h1> <b>SENZA MENTOLO</B><br><br> per l'igiene orale quotidiana  e<br> per la protezione della carie.<br><br> <b>Caratteristiche:</B><br> dentifricio  privo di mentolo e menta piperita,<br> protegge efficacemente dalla carie ed &egrave;<br> testato clinicamente.<br><br> <b>Componenti:</b><br> aqua, sorbitol, hydrated silica,  hydroxyethylcellulose,<br> olaflur, titanium dioxide, aroma, saccharin, fluoro  amminico.<br><br> <b>Cod.</b> 30004559"
"900097433";"VETIVER OLIO ESSENZIALE 10ML";"Olio essenziale vetiver";"<h1>Olio essenziale<br> Vetiver</h1> <div align=""justify""> <b>Descrizione</b><br> Olio essenziale di Vetiveria Zizanoides Nash. Senza OGM.<br> <br> <b>Modalit&agrave; d'uso</b><br> Per un bagno aromatico diluire 10 gocce in un cucchiaio di bagnoschiuma e poi scioglierlo nell'acqua della vasca. Per massaggi disperdere accuratamente in 50 ml di olio crema 5-8 gocce di olio essenziale. Per applicazioni localizzate su piccole aree 4-5 gocce in un cucchiaino di olio o alcool.<br> <br> <b>Componenti</b><br> Vetiveria zizanoides root oil.<br> <br> <b>Avvertenze</b><br> Prodotto per uso esterno da usarsi sempre ed unicamente diluito. <br> <br> <b>Conservazione</b><br> Conservare in luogo fresco e asciutto, lontano dalla luce.<br> Non disperdere nell'ambiente dopo l'uso. <br> Validit&agrave; post-apertura: 12 mesi.<br> <br> <b>Formato</b><br> 10 ml.<br> <br> <b>Cod.</b> 206A</div>"
"900099298";"IPERICO OLIO VEGETALE 100ML";"Olio iperico";"<h1> Olio di Iperico </h1> <div align=""justify""> <b>Descrizione</b><br> Per fare questo olio sono state impiegate le sommit&agrave; fiorite di Iperico colte nel loro tempo balsamico, che coincide con il solstizio d'estate, la festa di San Giovanni da cui questa pianta prende il nome. I fiori di Iperico o Erba di San Giovanni dal colore giallo, una volta raccolti vengono posti nell'olio a macerare al sole per un ciclo lunare. L'olio cos&igrave; ottenuto assume un riflesso rosso intenso le cui propriet&agrave; energetiche ben si addicono a massaggi e frizioni nelle zone colpite da dolori articolari, reumi ed a tutte le occasioni in cui si vuole ritrovare un giusto equilibrio di vitalit&agrave; e vigore. <br> <br> <b>Modalit&agrave; d'uso</b><br> Versare nella mano un cucchiaio circa di olio e poi applicarlo sulla zona desiderata. La quantit&agrave; pu&ograve; variare a seconda del grado di idratazione della pelle e della durata del massaggio. <br> <br> <b>Avvertenze</b><br> Per uso esterno. Non ingerire. Evitare il contatto con gli occhi. Tenere fuori dalla portata dei bambini. <br> <br> <b>Conservazione</b><br> Conservare a temperatura ambiente, in luogo fresco e asciutto. <br> Periodo di validit&agrave; dopo la prima apertura: 12 mesi. <br> <br> <b>Formato</b><br> Flacone da 100 ml. <br> <br> <b>Cod.</b> 0117 </div>"
"900099437";"LINO OLIO VEGETALE 250ML";"Omega 3 norsan";"<h1> Olio di Lino </h1> <div align=""justify""> <b>Descrizione</b><br> Integratore alimentare a base di olio di lino, ricco in acido alfa-linolenico, un acido grasso polinsaturo della serie Omega-3. Il lino &egrave; indicato per sostenere il metabolismo dei lipidi e favorire l'integrit&agrave; e la funzionalit&agrave; delle membrane cellulari. <br> <br> <b>Ingredienti</b><br> Olio di semi di lino (Linum usitatissimum L.) 100%. <br> Tenore in ingredienti caratterizzanti per dose giornaliera: Olio di lino 7 g, apporto in acido alfa-linolenico 4 g. <br> <br> <b>Modalit&agrave; d'uso</b><br> Un cucchiaio al giorno (pari a circa 7 g), preferibilmente al mattino o comunque lontano dai pasti. <br> <br> <b>Avvertenze</b><br> Non superare la dose giornaliera consigliata. Tenere fuori dalla portata dei bambini al di sotto dei 3 anni di et&agrave;. Gli integratori alimentari non vanno intesi come sostituti di una dieta variata ed equilibrata e di uno stile di vita sano. <br> <br> <b>Conservazione</b><br> Conservare in luogo fresco e asciutto, al riparo dalla luce. <br> Validit&agrave; a confezione integra: 36 mesi. <br> <br> <b>Formato</b><br> Flacone da 250 ml. <br> <br> <b>Cod.</b> 0109 </div>"
"900103692";"RUSCH 854930 RUECCO FIX FASCIA";"Catetere condom";"<h1>Fascetta a Velcro</h1> <b>FASCETTE PER CONDOM</b><br> <br> <b>Caratteristiche:</b><br> fasce in velcro per fissare il catetere esterno.<br> Disponibili in confezione da 30 pezzi.<br> <br> <b>Cod.</b> 854930"
"900114683";"MSA TILIA TOMENTOSA 50ML";"Tilia tomentosa 1000ml";"<H1>Tilia Tomentosa</H1> <b>M.S.A.</b><br><br> questo macerato non da accumulo ed &eacute; atossico e per questo motivo &eacute idoneo per l'uso in pediatria, geriatria, in  gravidanza o quando vi &eacute l'organismo debilitato. In una piccola percentuale  pu&oacute manifestare, dopo l'assunzione, una lieve eccitazione (cosa che fanno altre  piante con azione calmante), ma basta ridurre la posologia per far sparire questo effetto indesiderato. Il gemmoterapico Tilia tomentosa &eacute in grado di agire  contemporaneamente sia sul centro del sonno, sia sull'asse cortico-ipotalamico e sia  sulla sostanza reticolata e questo fa si che si innalzi il tasso di serotonina, ha azione ansiolitica generale, sedativa, antispasmodica e tranquillante. <br><br> <b>Cod.</b>  MSA04"
"900115460";"MSA ROSA CANINA 50ML";"Tilia tomentosa 1000ml";"<H1>Rosa Canina</H1> <b>M.S.A.</b><br><br> un'azione complementare con diversi altri  macerati, come ad esempio col Ribes nigrum col quale induce una pi&uacute; completa  stimolazione della corteccia surrenale e con Tilia tomentosa con la quale aumenterebbe la sua azione tranquillante. Questo macerato &eacute; il rimedio per eccellenza delle  infiammazioni recidivanti localizzate, specialmente nei bambini (otiti, riniti,  tonsilliti, ecc.). &Eacute; altresi utile nelle cefalee vasomotorie e nelle emicranie  (anche con componente allergica) in quanto sembra che il macerato abbia la facolt&aacute; di neutralizzare la liberazione dell'aminoacido tiramina che entra in causa, appunto in  questi disagi. <br><br> <b>Cod.</b> MSA21"
"900128897";"GEMMOSOL 36 RIBES NERO 100ML";"Ribes nero gemmosol 36 specchiasol 100ml";"GEMMOSOL 36 RIBES NERO MACERATO GLICERICO 100 ML"
"900141829";"LIPEROL OLIO SHAMPOO 150ML";"Liperol shampoo";"<h1>Liperol</h1> <b>OLIO SHAMPOO</b><br> <br> va bene per uso pediatrico e per tutti i  tipi di capelli, specialmente dove si &egrave; in presenza di dermatite seborroica e di  forfora.<br> <br> <b>Modalit&agrave; d'uso:</b><br> si pu&ograve; utilizzare  quotidianamente.<br> Per avere risultati migliori, &egrave; opportuno lasciarlo agire per qualche minuto.<br> <br> <b>Caratteristiche:</b><br> - lipoaminoacidi: per impedire la  formazione di lipoperossidi che provocano irritazioni e forfora al cuoio capelluto;<br> - urea al 5%: come idratante, antidesquamante e leggero decapante (crosta lattea);<br> -  piroctone olamine allo0,75%: antifungino e antibatterico, particolarmente attivo contro  il pityrosporum ovale e quindi contro la forfora;<br> - acido 18 beta glicirretico: come  antinfiammatorio;<br> - collagene quaternizzato: come sostantivante.<br> <br> <b>Cod.</b> 102"
"900151996";"GUAM FANGHI D'ALGA CONVEN FRED";"Fanghi guam 1000g";"<h1>GUAM <br> fanghi d'alga guam formula a freddo contro inestetismi della cellulite </h1> <div align=justify><b>Descrizione</b><br> Fanghi d'alga guam: 1 kg di fanghi d'alga guam contiene una concentrazione elevata di puro estratto d'alga corrispondente a circa 1 kg d'alga marina fresca. Le alghe marine, ricche di propriet&agrave; i cui benefici sono riconosciuti dal mondo scientifico sono un vero concentrato di mare e contengono: protidi, lipidi, glucidi, mannitolo, cloro, fosforo, zolfo, iodio. Sodio, potassio, calcio, magnesio, zinco, cobalto, ferro, manganese, boro, silicio. Vitamine: beta carotene (pro vit. A); acido ascorbico (vit. C); vitamine complesso B. <br> Per chi desidera un trattamento d'urto per ottenere risultati fin dalle prime applicazioni contro gli inestetismi cutanei della cellulite: fanghi d'alga guam. Diverse applicazioni conferiscono sodezza ed elasticit&agrave; alla pelle; con i fanghi d'alga guam si avverte sulla pelle sostanziali e diversi benefici grazie alle molteplici propriet&agrave; delle alghe estratte dagli oceani incontaminati. <br>*Cellulite: inestetismo cutaneo e adiposit&agrave; della pelle.<br> Prodotto cosmetico. Dermatologicamente testato.<br> Crema gel ai fanghi d'alga guam:<br> Formula a freddo. Rassoda la pelle e previene gli inestetismi cutanei della cellulite. Contiene gli stessi fitoestratti di alga marina impiegati nei fanghi d'alga guam. Questa crema gel, che si pu&ograve; usare tutti i giorni, &egrave; stata formulata quale importante abbinamento ai fanghi d'alga guam. Sostanze funzionali: estratti glicerici di alghe marine, edera, malva, olio essenziale di limone e pompelmo, complesso rinfrescante.<br> Nickel tested. <br><br> <b>Modalit&agrave; d'uso</b><br> Fanghi d'alga guam: <br> applicare su cosce e glutei i fanghi d'alga guam, con un leggero massaggio. Indossare il pantaloncino oppure avvolgere con pellicola trasparente. Lasciare in posa 45 minuti e risciacquare con acqua tiepida. <br> Crema gel ai fanghi d'alga guam: <br> Massaggiare bene sulle parti interessate fino al completo assorbimento del prodotto dopo il trattamento con i fanghi d'alga guam formula a freddo. Usata tutti i giorni aiuta la pelle a ritrovare la naturale elasticit&agrave;. <br> <br> <b>Componenti</b><br> Fanghi d'alga guam: aqua // water, solum fullonum // fuller's earth, Laminaria digitata powder // Laminaria digitata extract, sodium chloride, glycerin, Fucus vesiculosus extract, Citrus limon peel oil // Citrus limon (lemon) peel oil, Origanum vulgare extract // Origanum vulgare flower extract, Hedera helix extract // Hedera helix (ivy) leaf/steam extract, Aesculus hippocastanum bark extract // Aesculus hippocastanum (horse chestnut) bark extract, benzyl alcohol, chlorphenesin, menthyl lactate, menthol, PPG-26 buteth-26, citric acid, PEG-40 hydrogenated castor oil, dehydroacetic acid, sodium phytate, lecithin, tocopherol, ascorbyl palmitate, limonene, geraniol, citronellol, citral, linalool, farnesol. <br> Crema gel ai fanghi d'alga guam: aqua // water, alcohol denat., bis-PEG-18 methyl ether dimethyl silane, glycerin, PEG- 40 hydrogenated castor oil, isopropyl isostearate, polysorbate 80, triethanolamine, carbomer, phenoxyethanol, limonene, Citrus grandis peel oil // Citrus grandis (grapefruit) peel oil, ethylhexylglycerin, parfum // fragrance, benzophenone-4, propylene glycol, menthyl lactate, cetyl acetate, Citrus limon peel oil // Citrus limon (lemon) peel oil, tetrasodium EDTA, PPG-26-buteth-26, Algae extract, Hedera helix leaf/stem extract // Hedera helix (ivy) leaf/stem extract, Malva sylvestris extract // Malva sylvestris (mallow) extract, acetylated lanolin alcohol, linalool, citral, CI 19140 // yellow 5, CI 42090 // blue 1. <br> <br> <b>Avvertenze</b><br> Fanghi d'alga guam: prima dell'utilizzo leggere attentamente le avvertenze sul foglietto illustrativo. Fare attenzione a non usare in caso di allergia agli ingredienti del prodotto e/o su pelle lesa o irritata. Uso esterno. Non ingerire. Tenere lontano dalla portata dei bambini. Evitare il contatto con gli occhi <br> Crema gel ai fanghi d'alga guam: <br> <br> <br> <b>Conservazione</b><br> Conservare a inferiore ai 30&deg;C. <br> Validit&agrave; post-apertura: 12 mesi. <br> <br> <b>Formato</b><br> Fanghi d'alga guam: <br> Vasetto da 1000 g. <br> Crema gel ai fanghi d'alga guam: <br> Tubetto da 250 ml. <br> <br> <b>Cod.</b> 41EBACONVF </div> <br>"
"900218672";"After Bite Crema 20ml";"After bite gel";"After Bite Crema 20ml"
"900247901";"PRONTEX PRECISO NAT TERMO ECO";"Termometro mercurio tradizionale";"<h1>TERMOMETRO</h1> <h3>PRONTEX</h3> Termometro clinico senza mercurio.<br> <br> <b>Formato</b><br> 1 pezzo.<br> <br> <b>Cod.</b>22853"
